Unique Item List,Supply,Rarity Tier,IP Concern,Title,Description,ThumbFilename
Voldemort,1,Grail,Yes,The Noseless Nightmare,"Possesses powerful dark magic, but has a -20 penalty to 'Charisma'. Cannot equip any 'Nose Ring' items. Has a 1/7 chance of resurrecting upon defeat.",
Unknown Bro,1,Grail,,Schrödinger's Chad,His power level exists in quantum superposition until observed. Either god-tier or complete trash. The ultimate flex is never revealing which.,
Satan,1,Grail,,Infernal Influencer,Offers tempting deals for temporary stat boosts. Side effects include eternal damnation and mild FOMO.,
Pock,1,Grail,,The Geological Grift,Attribute: Immune to all expectations. May or may not be sentient. Definitely got you to spend ETH on a rock. Again.,
Pink Guy,1,Grail,Yes,The Unhinged Unicorn,Attribute: Immune to cringe. His existence violates several YouTube Terms of Service. Can weaponize dead memes with devastating efficiency.,
Orc Lord,1,Grail,,The Green-Skinned Gruntmaster,High 'Strength' and 'Leadership' over lesser goblinoids. Communicates primarily through roars and pointing at things he wants to smash.,
Darth Vader,1,Grail,Yes,The Angsty Annihilator,"High intimidation factor. Can use 'Force Choke' on annoying NPCs. Vulnerable to ""high ground"" based attacks and questions about Padmé",
Wizard Hat,3,Legendary,,Virginity Preservation System,"Attribute: +40 to 'Spell Power,' -100 to 'Getting Laid.' Has never been within 50 feet of a woman who wasn't related to the wearer.",
Ironman Helmet,6,Legendary,Yes,Helm of the Overconfident Engineer,"Attribute: +20 to “Ego,” +10 to “Projectile Deflection (Theoretical).” A shining headpiece for those who believe technology can solve everything — except social isolation.",
Mickey Ears,7,Legendary,Yes,Litigation Launcher 3000,"Attribute: +15 to 'Brand Recognition,' +100 to 'Legal Threats.' Wearing this summons attorneys faster than saying 'fair use' three times in a mirror.",
Spartan Helmet,9,Legendary,,Phalanx's Finest Facade,Attribute: Boosts 'Defense' when fighting in a formation with other party members.,
Crown,10,Legendary,,Monarch's Magnificence Marker,"Attribute: Commands respect, but also attracts unwanted attention from assassins and tax collectors.",
Devil Horns,11,Epic,,Edge Lord Starter Pack,Attribute: +15 to 'Angst.' Perfect for those who think they're dark and mysterious.,
Viking Helmet,13,Epic,,Horned Hero's Headguard,Attribute: +15 to 'Roar' skill. May accidentally summon a sea serpent during a storm.,
Safety Helmet,14,Epic,,OSHA's Chosen One,"Attribute: Prevents brain damage, but can't prevent the brain damage you already have from buying jpegs. Hi-vis vest sold separately.",
Fez,14,Epic,,The Magical Merchant's Topper,"Attribute: Occasionally conjures small, insignificant trinkets for sale. Impresses desert traders.",
Yellow Shirt,14,Epic,,High Visibility Liability,Attribute: +40 to 'Being Spotted.' Perfect for getting sniped first in every engagement. Stealth missions are not your calling.,
Swat Armour,14,Epic,,The Breacher's Ballistic Vest,"Attribute: High 'Damage Reduction' against projectiles. Grants the 'Flashbang' ability, which stuns enemies and the user if not careful.",
Shark Hat,15,Epic,,Apex Predator Pretender,Attribute: Terrifies goldfish. Confuses actual sharks. +15 to 'Pool Party Dominance.' Still gets bullied at the beach.,
Alien Bro,15,Epic,,Illegal Immigrant from Space,Attribute: Understands nothing. Destroys everything. Visa status: Highly questionable. ,
Yellow Raincoat,15,Epic,,Puddle Jumper's Protector,Attribute: Immune to 'Wet' debuff. Increases 'Splash Attack' damage.,
Cat Ear,16,Epic,,Furry Fetishist Identifier,Attribute: +10 to 'UwU Energy.' Triggers immediate judgment. Your dating profile is a war crime. Please seek help.,
Evil Crown,17,Epic,,Twitch Moderator's Tiara,Attribute: +20 to 'Intimidation' against peasants and small woodland creatures. Periodically whispers dark suggestions.,
