ID,Image,Bro Type,Headwear,Clothes,Eyes,Eyewear,Mouth Items,Background
1,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreibhwm4bhh7pbzuvkifnayrleuibxl7jg3uu2uker5gcr4fpyiadcu.webp,Alien Bro,Golden Bucket,Black Shirt,,None,None,Teal Blue
2,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreid3fqfelzmpeugyr3abqak5cemks2trsz7y4ghqihunpv4swjpozm.webp,Alien Bro,Golden Bucket,Tank Top,,None,None,Teal Blue
3,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreiellodh32e4p7rhqe6a6zyvbqrpgu4fffpowldxpsylnibmkcgini.webp,Alien Bro,Backwards Cap,Normal Jacket,,None,None,Teal Blue
4,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreih42mbwknthlmboiam7lqgbgj2gmcys4pnj3se4bef2q7f3tjqm2e.webp,Alien Bro,Kermit Hat,Pepe Shirt,,None,None,Teal Blue
5,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreidaujkgeaht7kqsoecq6c5dwz5kidtv376m3fno2724447qwtgaf4.webp,Alien Bro,Head Band,None,,None,Gum,Teal Blue
6,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreib2f2xhwk6cs5eblnp32vezroe2sxz56wghk7eoypkre37aoxwdia.webp,Alien Bro,Flat Cap,Thug Jacket,,None,None,Teal Blue
7,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreib54ho6zgbhbc5fgxtaxnyxdsxnf4wsmxbekej7cpamfrxjy53bma.webp,Alien Bro,Angel Ring,None,,None,None,Teal Blue
8,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreih6lssugw2gbtbsfwads7tglueruvsi2dtxvwsgnx2bvvbmjg4zfa.webp,Alien Bro,None,Coat,,3D Glass,Beard,Teal Blue
9,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreicwelimx2vktsw45e2paaom3qs4cv3ilb3mubm7pnn6xy5c5eumwu.webp,Alien Bro,Headphone,Grey Zipper Hoodie,,Eye Mask,Oni Mask,Teal Blue
10,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreiepd5cjegrpn3lszealffk4mjr2zybwamqyag4rnhwuhzjnrga3pe.webp,Alien Bro,None,Woolen Shirt,,None,Pipe,Teal Blue
11,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreiflcx3flt5dxca5asxu4ehw6ao625gurflfek7cplxgh4yapuietm.webp,Alien Bro,Bucket Hat,Tank Top,,None,None,Teal Blue
12,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreigmbxr4oom53gf2olu3b6hah5h6eaiepts6dvl5e7lpdjmpk3cy2q.webp,Alien Bro,Head Band,None,,Nerd,None,Teal Blue
13,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreicomytrjbijvgwx3dq3zkpfjzqvhnx3tvzyisn7al36klh6m3hp5u.webp,Alien Bro,Blue Cap,Blue Puffer Jacket,,Nerd,Orc Teeth,Teal Blue
14,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreigmw6jo56lpwvbbxaywzjbpwacjendshqo7eavg7iz425tffwktt4.webp,Alien Bro,Old Bucket Hat,Normal Jacket,,None,Cigarette,Teal Blue
15,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreihvhe5spynsotpwo44rzfeert6tqxfwrdaxlz5lwmsnjwmz55bdbm.webp,Alien Bro,None,None,,None,None,Teal Blue
16,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreiflvyrq2kf2o2okzc66b5w3wvsr4he5yomtyl4mgbtompeuyrol2q.webp,Ape Bro,Flat Top Hairstyle,None,,Laser Glass,None,Teal Blue
17,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreiaasxt4cu34mcc7j4fa3ru7dxf7bkiragqbpsctj6ekahxcxwksvm.webp,Ape Bro,None,None,,None,Cigarette,Russian Green
18,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreih4hruppjhzzblztujaj5kruwzy7f4mm7khmya7z2xwjafzrqunbe.webp,Ape Bro,Head Band,Grey Zipper Hoodie,,None,None,Russian Green
19,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreibqkmfceknhfwldftlre6eeprpoc3vahkl4fgzdmozesuypte3q3q.webp,Ape Bro,New Idea,None,,Laser Glass,None,Teal Blue
20,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreifc3yzc3nq4szb2nnwcffxmrchufqw42c4eoy6sovi7hyzjbpjiey.webp,Ape Bro,Kermit Hat,Pepe Shirt,,None,Pipe,Russian Green
21,https://cdn.jsdelivr.net/gh/hemibroscommunity-del/Hemi-Bros-catalogue@main/images/bafkreiba6awrv76cgtkgi3wki46yl35quyay6hhnu2snym3ckjfte6t5yy.webp,Ape Bro,None,None,,Vision Pro,None,Teal Blue
