Category,Unique Item List,Supply,Rarity Tier,IP Concern,IconName,Title,Description
Bro Type,Voldemort,1,Grail,Yes,voldemort.png,The Noseless Nightmare,"Possesses powerful dark magic, but has a -20 penalty to 'Charisma'. Cannot equip any 'Nose Ring' items. Has a 1/7 chance of resurrecting upon defeat."
Bro Type,Unknown Bro,1,Grail,,unknown.png,Schrödinger's Chad,His power level exists in quantum superposition until observed. Either god-tier or complete trash. The ultimate flex is never revealing which.
Bro Type,Satan,1,Grail,,satan.png,Infernal Influencer,Offers tempting deals for temporary stat boosts. Side effects include eternal damnation and mild FOMO.
Bro Type,Pock,1,Grail,,pock.png,The Geological Grift,Attribute: Immune to all expectations. May or may not be sentient. Definitely got you to spend ETH on a rock. Again.
Bro Type,Pink Guy,1,Grail,Yes,pinkguy.png,The Unhinged Unicorn,Attribute: Immune to cringe. His existence violates several YouTube Terms of Service. Can weaponize dead memes with devastating efficiency.
Bro Type,Orc Lord,1,Grail,,orclord.png,The Green-Skinned Gruntmaster,High 'Strength' and 'Leadership' over lesser goblinoids. Communicates primarily through roars and pointing at things he wants to smash.
Bro Type,Darth Vader,1,Grail,Yes,darthvader.png,The Angsty Annihilator,"High intimidation factor. Can use 'Force Choke' on annoying NPCs. Vulnerable to ""high ground"" based attacks and questions about Padmé"
Headwear,Wizard Hat,3,Legendary,,wizardhat.png,Virginity Preservation System,"Attribute: +40 to 'Spell Power,' -100 to 'Getting Laid.' Has never been within 50 feet of a woman who wasn't related to the wearer."
Headwear,Ironman Helmet,6,Legendary,Yes,ironmanmask.png,Helm of the Overconfident Engineer,"Attribute: +20 to “Ego,” +10 to “Projectile Deflection (Theoretical).” A shining headpiece for those who believe technology can solve everything — except social isolation."
Headwear,Mickey Ears,7,Legendary,Yes,mickeyears.png,Litigation Launcher 3000,"Attribute: +15 to 'Brand Recognition,' +100 to 'Legal Threats.' Wearing this summons attorneys faster than saying 'fair use' three times in a mirror."
Headwear,Spartan Helmet,9,Legendary,,spartanhelm.png,Phalanx's Finest Facade,Attribute: Boosts 'Defense' when fighting in a formation with other party members.
Headwear,Crown,10,Legendary,,kingcrown.png,Monarch's Magnificence Marker,"Attribute: Commands respect, but also attracts unwanted attention from assassins and tax collectors."
Headwear,Devil Horns,11,Epic,,devilhorns.png,Edge Lord Starter Pack,Attribute: +15 to 'Angst.' Perfect for those who think they're dark and mysterious.
Headwear,Viking Helmet,13,Epic,,vikinghelm.png,Horned Hero's Headguard,Attribute: +15 to 'Roar' skill. May accidentally summon a sea serpent during a storm.
Headwear,Safety Helmet,14,Epic,,hardhat.png,OSHA's Chosen One,"Attribute: Prevents brain damage, but can't prevent the brain damage you already have from buying jpegs. Hi-vis vest sold separately."
Headwear,Fez,14,Epic,,fez.png,The Magical Merchant's Topper,"Attribute: Occasionally conjures small, insignificant trinkets for sale. Impresses desert traders."
Clothes,Yellow Shirt,14,Epic,,yellowshirt.png,High Visibility Liability,Attribute: +40 to 'Being Spotted.' Perfect for getting sniped first in every engagement. Stealth missions are not your calling.
Clothes,Swat Armour,14,Epic,,swatarmor.png,The Breacher's Ballistic Vest,"Attribute: High 'Damage Reduction' against projectiles. Grants the 'Flashbang' ability, which stuns enemies and the user if not careful."
Headwear,Shark Hat,15,Epic,,sharkhead.png,Apex Predator Pretender,Attribute: Terrifies goldfish. Confuses actual sharks. +15 to 'Pool Party Dominance.' Still gets bullied at the beach.
Bro Type,Alien Bro,15,Epic,,alien.png,Illegal Immigrant from Space,Attribute: Understands nothing. Destroys everything. Visa status: Highly questionable. 
Clothes,Yellow Raincoat,15,Epic,,yellowraincoat.png,Puddle Jumper's Protector,Attribute: Immune to 'Wet' debuff. Increases 'Splash Attack' damage.
Headwear,Cat Ear,16,Epic,,catears.png,Furry Fetishist Identifier,Attribute: +10 to 'UwU Energy.' Triggers immediate judgment. Your dating profile is a war crime. Please seek help.
Headwear,Evil Crown,17,Epic,,evilcrown.png,Twitch Moderator's Tiara,Attribute: +20 to 'Intimidation' against peasants and small woodland creatures. Periodically whispers dark suggestions.
Headwear,Golden Bucket,18,Epic,,goldenbucket.png,Pail of Prosperous Plunder,Attribute: Increases gold drops from defeated enemies. May accidentally attract squirrels.
Clothes,Yellow Running Jacket,18,Epic,,yellowrunning.png,Sprinter's Speedy Shell,Attribute: +20 to 'Running Away.' High visibility means everyone watches you flee. Can't hide. Can't fight. Can run though.
Headwear,Naruto Headband,20,Epic,Yes,naruto.png,Forehead Protector of Questionable Power,Attribute: +10 to 'Running Speed' (with arms flailing behind). Allows user to speak in 'Dattebayo' dialect.
Clothes,Suit,23,Epic,,suit.png,Ponzi Scheme Protagonist Attire,Attribute: +25 to 'LinkedIn Engagement.' Grants ability to convince people your NFT project has 'utility.' Comes pre-stained with cocaine and regret.
Eyes,Demon Eye,24,Epic,,demoneyes.png,Gaze of Infernal Insight,"Attribute: +15 to “Intimidation,” +5 to “Thermal Vision (Uncontrollable).” Said to let the wearer see into souls — or just through cheap lies and thinner walls."
Headwear,Axe On Head,24,Epic,,axehead.png,The Permanent Headache Helm,"Attribute: +20 to Intimidation, but -1 to Intelligence. Requires frequent bandages."
Mouth Items,Gas Mask,27,Rare,,gasmask.png,Apocalypse's Air Filter,Attribute: Immune to 'Poison Gas' and 'Smog' debuffs. Impedes communication slightly.
Eyes,One Eye,27,Rare,,oneeye.png,Singular Sight of Tragic Coolness,"Attribute: +10 to “Mysterious Aura,” –5 to “Peripheral Awareness.” Wielded by heroes who know that depth perception is a small price for drama."
