ID,Bro Type,Headwear,Clothes,Eyes,Eyewear,Mouth Items,Background,DI Score,Surprisal Score,Additive Ratity,DI Score Tiers
6466,Voldemort,,,,,,,417.3889748,11.7026056,0.03,Grail
5110,Darth Vader,,,,,,,417.3889748,11.7026056,0.03,Grail
6464,Satan,,,,,,,400.1125561,11.7026056,0.03,Grail
6465,Unknown Bro,,,,,,,379.0030638,11.7026056,0.03,Grail
5861,Orc Lord,,,,,,,347.7168642,11.7026056,0.03,Grail
5862,Pink Guy,,,,,,,326.5775548,11.7026056,0.03,Grail
5863,Pock,,,,,,,279.4827199,11.7026056,0.03,Grail
1,Alien Bro,Golden Bucket,Black Shirt,,None,None,Teal Blue,274.02591,21.11315696,144.32,Grail
2,Alien Bro,Golden Bucket,Tank Top,,None,None,Teal Blue,273.8844442,20.66985561,145.82,Grail
39,Ape Bro,Mickey Ears,White Striped Shirt,,None,None,Rose Taupe,246.1597743,21.3982709,155.75,Grail
4047,Bro,Wizard Hat,Purple Bomber,Wtf Eyes,Dbz Glass,None,Middle Green,222.7131204,25.41717461,142.42,Legendary
5071,Bro,Wizard Hat,None,Normal Eyes,None,None,Purple Navy,216.699757,17.07119765,231.02,Legendary
6038,Robo Bro,Wizard Hat,None,Sus Eyes,None,None,Purple Navy,215.5648824,19.5965984,198.74,Legendary
3238,Different Bro,Spartan Helmet,None,Demon Eye,None,None,Rose Taupe,205.2849172,21.14039439,197.3,Legendary
7,Alien Bro,Angel Ring,None,,None,None,Teal Blue,204.9608836,17.9041712,162.26,Legendary
6523,Zombie Bro,Crown,Jedi Robe,Happy Eyes,None,None,Purple Navy,203.4324861,22.35726607,169.13,Legendary
6360,Robo Bro,Crown,Dutch White Robe,No Sleep,None,Beard,Russian Green,197.2517935,26.90398399,94.69,Legendary
6412,Robo Bro,Crown,None,Sus Eyes,None,Gum,Camouflage Green,196.5634178,22.61394564,126.43,Legendary
6355,Robo Bro,Crown,Jedi Robe,T800,None,None,Dark Lavender,196.3518006,21.12594052,176.69,Legendary
4104,Bro,Crown,None,No Sleep,None,None,Camouflage Green,193.5985847,17.20397567,209.09,Legendary
6133,Robo Bro,Crown,Jedi Robe,Wtf Eyes,None,None,Russian Green,193.2130181,20.16070594,175.34,Legendary
3,Alien Bro,Backwards Cap,Normal Jacket,,None,None,Teal Blue,192.7210312,18.27233754,149.03,Legendary
6001,Robo Bro,Crown,Golden Jacket,Happy Eyes,None,None,Camouflage Green,192.5821669,21.80792747,179.87,Legendary
6246,Robo Bro,Crown,Dutch White Robe,Small Eyes,None,None,Russian Green,192.4425631,21.04688012,169.79,Legendary
456,Bro,Crown,White Puffer Jacket,Normal Eyes,None,None,Middle Green,192.3313397,18.14558337,213.38,Legendary
9,Alien Bro,Headphone,Grey Zipper Hoodie,,Eye Mask,Oni Mask,Teal Blue,192.2448683,29.17765098,17.34,Legendary
706,Bro,Crown,Warm Coat,Normal Eyes,None,None,Middle Green,192.2171291,17.78768978,214.25,Legendary
10,Alien Bro,None,Woolen Shirt,,None,Pipe,Teal Blue,191.2251279,22.6427449,85,Legendary
14,Alien Bro,Old Bucket Hat,Normal Jacket,,None,Cigarette,Teal Blue,190.7468514,22.91045736,76.69,Legendary
8,Alien Bro,None,Coat,,3D Glass,Beard,Teal Blue,188.175674,26.72345901,30.78,Legendary
5,Alien Bro,Head Band,None,,None,Gum,Teal Blue,184.8950685,20.71596953,92.47,Legendary
6593,Zombie Bro,Mickey Ears,White Striped Shirt,Sus Eyes,Gojo Satoru,None,Middle Green,184.8568715,27.67941273,113.26,Legendary
45,Ape Bro,Golden Bucket,None,,None,None,Teal Blue,184.5234205,17.3192087,162.59,Legendary
13,Alien Bro,Blue Cap,Blue Puffer Jacket,,Nerd,Orc Teeth,Teal Blue,184.2599342,28.41524588,19.11,Legendary
4,Alien Bro,Kermit Hat,Pepe Shirt,,None,None,Teal Blue,184.0689267,21.70071657,142.07,Epic
6568,Zombie Bro,Mickey Ears,Light Brown Fash Hoodie,Sleepy Eyes,None,None,Rose Taupe,183.5297403,22.77444702,168.38,Epic
6,Alien Bro,Flat Cap,Thug Jacket,,None,None,Teal Blue,181.1715202,19.42277649,145.01,Epic
2855,Different Bro,Mickey Ears,Gray Shirt,Wtf Eyes,3D Glass,None,Middle Green,180.3437671,23.66364276,140.68,Epic
11,Alien Bro,Bucket Hat,Tank Top,,None,None,Teal Blue,179.4877839,18.39683712,147.89,Epic
12,Alien Bro,Head Band,None,,Nerd,None,Teal Blue,179.2535479,19.32540496,112.84,Epic
15,Alien Bro,None,None,,None,None,Teal Blue,178.9492852,13.76206414,178.25,Epic
6645,Zombie Bro,Evil Crown,Swat Armour,Sleepy Eyes,None,Gum,Rose Taupe,178.8055759,29.182764,93.37,Epic
