Category,Trait,Count,S_trait,Tag1,IS1,Tag2,IS2,Tag3,IS3,IS Total,Adjusted Score
Bro Type,Darth Vader,1,11.703,Brand,1,,,,,1.000,353.372
Bro Type,Orc Lord,1,11.703,Fantasy,0.7,Villainous,0.3,,,1.000,211.224
Bro Type,Pink Guy,1,11.703,Brand,0.75,Whimsical,0.25,,,1.000,278.281
Bro Type,Pock,1,11.703,Fantasy,0.8,Fantasy,,,,0.800,209.171
Bro Type,Satan,1,11.703,Villainous,1,,,,,1.000,328.995
Bro Type,Unknown Bro,1,11.703,Whimsical,1,Fantasy,1,Villainous,1,3.000,307.225
Bro Type,Voldemort,1,11.703,Brand,1,,,,,1.000,353.372
Bro Type,Alien Bro,15,7.796,Sci-fi,1,,,,,1.000,153.344
Bro Type,Ape Bro,40,6.381,Whimsical,0.8,,,,,0.800,80.922
Bro Type,Zombie Bro,200,4.059,Villainous,0.1,,,,,0.100,11.410
Bro Type,Robo Bro,600,2.474,Sci-fi,0.1,,,,,0.100,4.866
Bro Type,Mummy Bro,750,2.152,Heritage,0.05,,,,,0.050,1.529
Bro Type,Different Bro,786,2.084,Urban,0.22,,,,,0.220,2.669
Bro Type,Bro,935,1.834,Urban,0.25,,,,,0.250,2.669
Headwear,Afro,96,5.118,Urban,0.5,,,,,0.500,7.448
Headwear,Angel Ring,32,6.703,Fantasy,1,,,,,1.000,74.876
Headwear,Arabian Robe,87,5.260,Heritage,0.25,,,,,0.250,9.344
Headwear,Army Helmet,37,6.493,Enforcer,1,,,,,1.000,65.019
Headwear,Axe On Head,24,7.118,Fantasy,1,,,,,1.000,79.512
Headwear,Backwards Cap,75,5.474,Urban,0.75,Drip,0.25,,,1.000,15.149
Headwear,Bandana,126,4.725,Urban,0.75,,,,,0.750,10.316
Headwear,Blond Hair,137,4.605,Urban,0.75,,,,,0.750,10.053
Headwear,Blonde Hair,73,5.513,Urban,0.75,,,,,0.750,12.035
Headwear,Blue Cap,88,5.243,Urban,0.75,,,,,0.750,11.447
Headwear,Brown Hat,76,5.455,Urban,0.75,Drip,0.1,,,0.850,13.184
Headwear,Bucket Hat,87,5.260,Urban,0.75,,,,,0.750,11.483
Headwear,Cat Ear,16,7.703,Whimsical,0.5,Scene,0.25,,,0.750,34.235
Headwear,Chinese Hat,47,6.148,Heritage,0.3,,,,,0.300,13.106
Headwear,Cowboy Hat,39,6.417,Heritage,1,,,,,1.000,45.601
Headwear,Crown,10,8.381,Prestige,1,,,,,1.000,138.084
Headwear,Derby Hat,83,5.328,Heritage,0.25,,,,,0.250,9.465
Headwear,Devil Horns,11,8.243,Villainous,0.9,,,,,0.900,104.283
Headwear,Evil Crown,17,7.615,Villainous,0.9,,,,,0.900,96.338
Headwear,Fez,14,7.895,Heritage,0.5,,,,,0.500,28.052
Headwear,Flat Cap,85,5.293,Urban,0.75,,,,,0.750,11.556
Headwear,Flat Top Hairstyle,116,4.845,Urban,0.75,,,,,0.750,10.577
Headwear,Folded Brim,91,5.195,Urban,0.75,,,,,0.750,11.341
Headwear,Golden Bucket,18,7.533,Prestige,0.75,Whimsical,0.25,,,1.000,97.349
Headwear,Head Band,123,4.760,Urban,0.75,,,,,0.750,10.392
Headwear,Headphone,72,5.533,Brand,0.25,Drip,0.25,Urban,0.25,0.750,24.692
Headwear,Ironman Helmet,6,9.118,Brand,1,,,,,1.000,137.658
Headwear,Kermit Hat,37,6.493,Meme,0.5,,,,,0.500,23.949
Headwear,Mexican Hat,71,5.553,Heritage,0.5,,,,,0.500,19.730
Headwear,Mickey Ears,7,8.895,Brand,1,,,,,1.000,134.301
Headwear,Naruto Headband,20,7.381,Brand,0.25,,,,,0.250,27.858
Headwear,New Idea,48,6.118,Fantasy,0.25,Whimsical,0.25,,,0.500,20.549
Headwear,None,565,2.560,Minimalist,0.8,,,,,0.800,3.367
Headwear,Old Bucket Hat,90,5.211,Urban,1,,,,,1.000,15.168
Headwear,Old School Helmet,72,5.533,Urban,0.8,,,,,0.800,12.884
Headwear,Purple Bandana,101,5.044,Urban,1,,,,,1.000,14.684
Headwear,Red Beanie,67,5.637,Urban,1,,,,,1.000,16.407
Headwear,Russian Hat,85,5.293,Heritage,0.25,,,,,0.250,9.404
Headwear,Safety Helmet,14,7.895,Urban,1,,,,,1.000,22.982
Headwear,Shark Hat,15,7.796,Fantasy,1.15,,,,,1.150,100.150
Headwear,Sheriff Hat,75,5.474,Enforcer,0.2,,,,,0.200,10.962
Headwear,Slick Back Hair,154,4.436,Urban,1,,,,,1.000,12.912
Headwear,Spartan Helmet,9,8.533,Enforcer,1.4,,,,,1.400,119.618
Headwear,Split Hair,110,4.921,Urban,1,,,,,1.000,14.325
Headwear,Top Hat,83,5.328,Drip,0.5,Whimsical,0.5,,,1.000,27.826
Headwear,Viking Helmet,13,8.002,Enforcer,1,Heritage,0.25,,,1.250,84.191
Headwear,Wizard Hat,3,10.118,Fantasy,1.4,,,,,1.400,158.236
Eyes,Demon Eye,24,7.118,Villainous,0.8,Fantasy,0.2,,,1.000,56.389
Eyes,Happy Eyes,322,3.372,Whimsical,0.12,,,,,0.120,2.138
Eyes,No Sleep,278,3.584,Whimsical,0.18,,,,,0.180,3.409
Eyes,Normal Eyes,1016,1.714,Minimalist,1,,,,,1.000,1.878
Eyes,One Eye,27,6.948,Whimsical,0.5,Fantasy,0.25,,,0.750,22.053
Eyes,Sleepy Eyes,264,3.658,Minimalist,0.4,,,,,0.400,1.604
Eyes,Small Eyes,321,3.376,Minimalist,0.5,,,,,0.500,1.850
Eyes,Sus Eyes,275,3.599,Whimsical,0.12,,,,,0.120,2.282
Eyes,T800,252,3.725,Sci-fi,0.5,,,,,0.500,12.213
Eyes,Wtf Eyes,492,2.760,Whimsical,0.25,,,,,0.250,3.646
Eyewear,3D Glass,73,5.513,Scene,0.5,Whimsical,0.5,,,1.000,16.545
Eyewear,Dbz Glass,121,4.784,Brand,0.25,Sci-fi,0.25,,,0.500,14.278
Eyewear,Eye Mask,102,5.030,Urban,0.75,,,,,0.750,7.321
Eyewear,Eye Patch,174,4.260,Heritage,0.5,Whimsical,0.25,,,0.750,11.698
Eyewear,Flattened,135,4.626,Urban,0.5,,,,,0.500,4.488
Eyewear,Gojo Satoru,60,5.796,Brand,0.25,,,,,0.250,14.584
Eyewear,Golden Glasses,71,5.553,Scene,0.75,Drip,0.25,,,1.000,20.874
Eyewear,Golden Monocle,48,6.118,Prestige,0.5,,,,,0.500,33.599
Eyewear,Laser Glass,65,5.680,Sci-fi,0.5,,,,,0.500,18.622
Eyewear,Nerd,187,4.156,Urban,0.75,,,,,0.750,6.048
Eyewear,None,1925,0.792,Minimalist,1,,,,,1.000,0.868
Eyewear,Thug Life Glass,225,3.889,Meme,0.5,,,,,0.500,9.562
Eyewear,Vision Pro,45,6.211,Brand,0.25,,,,,0.250,15.628
Eyewear,White Glass,94,5.148,Drip,0.5,Urban,0.25,,,0.750,14.753
Mouth Items,Beard,50,6.059,Scene,0.75,Urban,0.25,,,1.000,10.628
Mouth Items,Big Mustache,33,6.658,Scene,0.75,Urban,0.25,,,1.000,11.679
Mouth Items,Cigarette,84,5.310,Scene,1,,,,,1.000,11.929
Mouth Items,Gas Mask,27,6.948,Enforcer,0.5,,,,,0.500,11.595
Mouth Items,Gum,93,5.163,Whimsical,0.75,,,,,0.750,10.232
Mouth Items,Low Beard,42,6.310,Scene,0.25,,,,,0.250,3.544
Mouth Items,Mask,56,5.895,Urban,0.1,,,,,0.100,0.572
Mouth Items,Mustache,58,5.845,Urban,0.75,,,,,0.750,4.253
Mouth Items,Ninja Mask,57,5.870,Enforcer,0.5,Heritage,0.5,,,1.000,11.782
Mouth Items,None,2510,0.409,Minimalist,0.25,,,,,0.250,0.056
Mouth Items,Old Wise Man Mustache,31,6.748,Scene,0.75,Whimsical,0.25,,,1.000,12.643
Mouth Items,Oni Mask,43,6.276,Heritage,0.5,,,,,0.500,7.433
Mouth Items,Orc Teeth,49,6.088,Fantasy,0.5,,,,,0.500,11.335
Mouth Items,Pipe,70,5.573,Scene,1,,,,,1.000,12.520
Mouth Items,Smile,40,6.381,Whimsical,1.5,,,,,1.500,25.288
Mouth Items,Throwup,36,6.533,Whimsical,1,,,,,1.000,17.260
Mouth Items,Vampire,37,6.493,Fantasy,0.5,Villainous,0.5,,,1.000,16.436
Clothes,Black Shirt,139,4.584,Urban,0.75,,,,,0.750,6.671
Clothes,Blue Puffer Jacket,95,5.133,Urban,0.75,Drip,0.25,,,1.000,9.470
Clothes,Coat,120,4.796,Urban,0.75,,,,,0.750,6.980
Clothes,Dutch White Robe,68,5.615,Urban,0.5,Heritage,0.5,,,1.000,9.249
Clothes,Fur Coat,66,5.658,Drip,0.25,Scene,0.25,,,0.500,9.531
Clothes,Golden Jacket,40,6.381,Drip,0.25,Scene,0.25,,,0.500,10.748
Clothes,Gray Shirt,208,4.002,Urban,0.75,,,,,0.750,5.825
Clothes,Grey Zipper Hoodie,143,4.543,Urban,0.75,,,,,0.750,6.612
Clothes,Jedi Robe,82,5.345,Brand,0.25,,,,,0.250,13.450
Clothes,Ken's Jacket,85,5.293,Brand,0.25,,,,,0.250,13.320
Clothes,Light Brown Fash Hoodie,107,4.961,Drip,0.5,,,,,0.500,13.530
Clothes,None,723,2.205,Minimalist,1,,,,,1.000,2.416
Clothes,Normal Jacket,239,3.802,Urban,0.75,,,,,0.750,5.533
Clothes,Normal Soldier Outfit,84,5.310,Enforcer,0.25,,,,,0.250,8.862
Clothes,Pepe Shirt,45,6.211,Meme,0.5,,,,,0.500,15.272
Clothes,Purple Bomber,73,5.513,Drip,0.5,,,,,0.500,15.034
Clothes,Red Shirt,84,5.310,Urban,1,,,,,1.000,10.305
Clothes,Roman Kind Robe,40,6.381,Heritage,0.75,,,,,0.750,22.671
Clothes,Suit,23,7.179,Drip,1,,,,,1.000,39.156
Clothes,Swat Armour,14,7.895,Enforcer,1,,,,,1.000,52.706
Clothes,Tank Top,189,4.140,Minimalist,0.75,,,,,0.750,3.403
Clothes,Thug Jacket,95,5.133,Scene,0.5,Urban,0.5,,,1.000,12.953
Clothes,Warm Coat,132,4.658,Urban,0.75,,,,,0.750,6.780
Clothes,White Puffer Jacket,103,5.016,Urban,0.75,,,,,0.750,7.301
Clothes,White Striped Shirt,110,4.921,Urban,0.75,,,,,0.750,7.163
Clothes,Winter Soldier,117,4.832,Enforcer,0.2,,,,,0.200,6.452
Clothes,Woolen Shirt,55,5.921,Urban,1,,,,,1.000,11.491
Clothes,Yellow Raincoat,15,7.796,Urban,1,,,,,1.000,15.128
Clothes,Yellow Running Jacket,18,7.533,Urban,1,,,,,1.000,14.618
Clothes,Yellow Shirt,14,7.895,Urban,1,,,,,1.000,15.322
