Category,Trait,Count,S_trait,Tag1,IS1,Tag2,IS2,Tag3,IS3,IS Total,Adjusted Score
Bro Type,Darth Vader,1,11.703,Brand,1,,,,,1.000,417.389
Bro Type,Orc Lord,1,11.703,Villainous,0.9,Villainous,0.5,Fantasy,,1.400,347.717
Bro Type,Pink Guy,1,11.703,Brand,0.75,Whimsical,0.25,,,1.000,326.578
Bro Type,Pock,1,11.703,Whimsical,1.35,Fantasy,0.3,,,1.650,279.483
Bro Type,Satan,1,11.703,Villainous,1.2,,,,,1.200,400.113
Bro Type,Unknown Bro,1,11.703,Whimsical,2,,,,,2.000,379.003
Bro Type,Voldemort,1,11.703,Brand,1,,,,,1.000,417.389
Bro Type,Alien Bro,15,7.796,Sci-fi,1,,,,,1.000,172.348
Bro Type,Ape Bro,40,6.381,Whimsical,0.8,,,,,0.800,82.658
Bro Type,Zombie Bro,200,4.059,Fantasy,0.18,,,,,0.180,17.229
Bro Type,Robo Bro,600,2.474,Sci-fi,0.1,,,,,0.100,5.469
Bro Type,Mummy Bro,750,2.152,Fantasy,0.01,,,,,0.010,0.507
Bro Type,Different Bro,786,2.084,Urban,0.35,,,,,0.350,6.984
Bro Type,Bro,935,1.834,Urban,0.38,,,,,0.380,6.671
Headwear,Afro,96,5.118,Urban,0.05,Drip,0.01,,,0.060,1.397
Headwear,Angel Ring,32,6.703,Fantasy,0.35,,,,,0.350,27.662
Headwear,Arabian Robe,87,5.260,Heritage,0.03,,,,,0.030,1.706
Headwear,Army Helmet,37,6.493,Enforcer,0.3,,,,,0.300,22.189
Headwear,Axe On Head,24,7.118,Whimsical,1.25,,,,,1.250,72.035
Headwear,Backwards Cap,75,5.474,Urban,0.5,Drip,0.15,,,0.650,15.859
Headwear,Bandana,126,4.725,Urban,0.1,Drip,0.01,,,0.110,2.421
Headwear,Blond Hair,137,4.605,Urban,0.08,,,,,0.080,1.763
Headwear,Blonde Hair,73,5.513,Urban,0.08,,,,,0.080,2.111
Headwear,Blue Cap,88,5.243,Urban,0.1,,,,,0.100,2.510
