ID,Bro Type,Headwear,Clothes,Eyes,Eyewear,Mouth Items,Background,DI Score,Round,,High End ,,Low tier ,High Tier,Low multiple,High multiple,Display Tier,Display Multiple,,P (Min Score),Q (Ttier),R (Multiple)
6466,Voldemort,,,,,,,402.37348,400,240,560,,1,1,30,50,1-1,30x - 50x,,0,7,0.8
5110,Darth Vader,,,,,,,402.37348,400,240,560,,1,1,30,50,1-1,30x - 50x,,10,6,1
6464,Satan,,,,,,,386.229979,390,234,546,,1,1,30,50,1-1,30x - 50x,,30,5,1.5
6465,Unknown Bro,,,,,,,371.2816388,370,222,518,,1,1,30,50,1-1,30x - 50x,,50,4,2
5861,Orc Lord,,,,,,,335.6522436,340,192,399,,2,1,10,30,1-2,10x - 30x,,60,3,5
5862,Pink Guy,,,,,,,315.0401685,320,192,399,,2,1,10,30,1-2,10x - 30x,,85,2,10
5863,Pock,,,,,,,277.9389503,280,168,392,,2,1,10,30,1-2,10x - 30x,,200,1,30
1,Alien Bro,Golden Bucket,Black Shirt,,None,None,Teal Blue,277.7145319,280,168,392,,2,1,10,30,1-2,10x - 30x,,400,0,50
2,Alien Bro,Golden Bucket,Tank Top,,None,None,Teal Blue,277.5741131,280,168,392,,2,1,10,30,1-2,10x - 30x,,,,
39,Ape Bro,Mickey Ears,White Striped Shirt,,None,None,Rose Taupe,238.7574497,240,144,336,,2,1,10,30,1-2,10x - 30x,,,,
7,Alien Bro,Angel Ring,None,,None,None,Teal Blue,207.6223121,210,126,294,,2,1,10,30,1-2,10x - 30x,,,,
3238,Different Bro,Spartan Helmet,None,Demon Eye,None,None,Rose Taupe,205.5003063,210,126,294,,2,1,10,30,1-2,10x - 30x,,,,
6360,Robo Bro,Crown,Dutch White Robe,No Sleep,None,Beard,Russian Green,198.5947874,200,120,280,,2,1,10,30,1-2,10x - 30x,,,,
6523,Zombie Bro,Crown,Jedi Robe,Happy Eyes,None,None,Purple Navy,196.0092338,200,120,280,,2,1,10,30,1-2,10x - 30x,,,,
4047,Bro,Wizard Hat,Purple Bomber,Wtf Eyes,Dbz Glass,None,Middle Green,195.4243088,200,120,280,,2,1,10,30,1-2,10x - 30x,,,,
6001,Robo Bro,Crown,Golden Jacket,Happy Eyes,None,None,Camouflage Green,194.4597279,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6412,Robo Bro,Crown,None,Sus Eyes,None,Gum,Camouflage Green,193.5407532,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
10,Alien Bro,None,Woolen Shirt,,None,Pipe,Teal Blue,192.9559583,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6355,Robo Bro,Crown,Jedi Robe,T800,None,None,Dark Lavender,192.6002858,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
45,Ape Bro,Golden Bucket,None,,None,None,Teal Blue,190.4490875,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
4,Alien Bro,Kermit Hat,Pepe Shirt,,None,None,Teal Blue,190.0195843,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6038,Robo Bro,Wizard Hat,None,Sus Eyes,None,None,Purple Navy,189.8805314,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
5071,Bro,Wizard Hat,None,Normal Eyes,None,None,Purple Navy,189.8826315,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6133,Robo Bro,Crown,Jedi Robe,Wtf Eyes,None,None,Russian Green,189.5413375,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
8,Alien Bro,None,Coat,,3D Glass,Beard,Teal Blue,189.0690474,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
9,Alien Bro,Headphone,Grey Zipper Hoodie,,Eye Mask,Oni Mask,Teal Blue,189.1147077,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6246,Robo Bro,Crown,Dutch White Robe,Small Eyes,None,None,Russian Green,188.8900183,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
4104,Bro,Crown,None,No Sleep,None,None,Camouflage Green,188.8315894,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
14,Alien Bro,Old Bucket Hat,Normal Jacket,,None,Cigarette,Teal Blue,188.0359696,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
456,Bro,Crown,White Puffer Jacket,Normal Eyes,None,None,Middle Green,187.6234327,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
3,Alien Bro,Backwards Cap,Normal Jacket,,None,None,Teal Blue,187.5225273,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
706,Bro,Crown,Warm Coat,Normal Eyes,None,None,Middle Green,187.5100674,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
13,Alien Bro,Blue Cap,Blue Puffer Jacket,,Nerd,Orc Teeth,Teal Blue,183.2596401,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
5,Alien Bro,Head Band,None,,None,Gum,Teal Blue,181.5086078,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
1737,Bro,Spartan Helmet,Winter Soldier,Normal Eyes,None,Old Wise Man Mustache,Middle Green,181.2141249,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
6253,Robo Bro,Spartan Helmet,Yellow Raincoat,Normal Eyes,None,None,Dark Lavender,178.5840628,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
6402,Robo Bro,Spartan Helmet,Jedi Robe,T800,Dbz Glass,None,Rose Taupe,177.8920735,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
6646,Zombie Bro,Spartan Helmet,None,Small Eyes,None,None,Middle Green,177.0652216,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
6,Alien Bro,Flat Cap,Thug Jacket,,None,None,Teal Blue,177.0165538,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
6593,Zombie Bro,Mickey Ears,White Striped Shirt,Sus Eyes,Gojo Satoru,None,Middle Green,176.6635646,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
11,Alien Bro,Bucket Hat,Tank Top,,None,None,Teal Blue,175.5491537,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
12,Alien Bro,Head Band,None,,Nerd,None,Teal Blue,175.3166513,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
6568,Zombie Bro,Mickey Ears,Light Brown Fash Hoodie,Sleepy Eyes,None,None,Rose Taupe,175.3044016,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
15,Alien Bro,None,None,,None,None,Teal Blue,175.0390675,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
2855,Different Bro,Mickey Ears,Gray Shirt,Wtf Eyes,3D Glass,None,Middle Green,174.3437619,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
6340,Robo Bro,Spartan Helmet,Jedi Robe,T800,None,None,Russian Green,174.0596164,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
6645,Zombie Bro,Evil Crown,Swat Armour,Sleepy Eyes,None,Gum,Rose Taupe,173.2955521,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
6421,Robo Bro,Ironman Helmet,None,Wtf Eyes,None,None,Dark Lavender,172.2948761,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
6327,Robo Bro,Ironman Helmet,Coat,Happy Eyes,Thug Life Glass,None,Russian Green,171.6713012,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
4464,Bro,Ironman Helmet,Gray Shirt,Wtf Eyes,Flattened,None,Purple Navy,171.3574472,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
31,Ape Bro,Axe On Head,None,,None,Cigarette,Russian Green,169.1102815,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
6137,Robo Bro,Spartan Helmet,Red Shirt,No Sleep,None,None,Middle Green,171.1419191,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
6079,Robo Bro,Devil Horns,Swat Armour,Wtf Eyes,None,None,Middle Green,169.380602,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
3170,Bro,Spartan Helmet,None,Sleepy Eyes,None,None,Middle Green,168.8130141,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
1001,Different Bro,Mickey Ears,Warm Coat,Small Eyes,Thug Life Glass,None,Purple Navy,167.8785174,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
627,Different Bro,Mickey Ears,Red Shirt,Normal Eyes,Nerd,None,Camouflage Green,167.6095489,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
355,Bro,Mickey Ears,Purple Bomber,Sus Eyes,None,None,Rose Taupe,167.4533329,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
5563,Mummy Bro,Ironman Helmet,Light Brown Fash Hoodie,No Sleep,Dbz Glass,None,Purple Navy,166.5024588,170,102,238,,2,1,10,30,1-2,10x - 30x,,,,
5942,Robo Bro,Evil Crown,Swat Armour,T800,None,None,Russian Green,164.2349579,160,96,224,,2,1,10,30,1-2,10x - 30x,,,,
6153,Robo Bro,Shark Hat,None,No Sleep,None,Vampire,Camouflage Green,161.4217145,160,96,224,,2,1,10,30,1-2,10x - 30x,,,,
5309,Mummy Bro,Ironman Helmet,Coat,No Sleep,None,None,Dark Lavender,161.9675021,160,96,224,,2,1,10,30,1-2,10x - 30x,,,,
