ID,Bro Type,Headwear,Clothes,Eyes,Eyewear,Mouth Items,Background,DI Score,Round,,High End ,,Low tier ,High Tier,Low multiple,High multiple,Display Tier,Display Multiple,,P (Min Score),Q (Ttier),R (Multiple)
6466,Voldemort,,,,,,,411.3942331,410,246,574,,1,1,30,50,1-1,30x - 50x,,0,7,0.8
5110,Darth Vader,,,,,,,411.3942331,410,246,574,,1,1,30,50,1-1,30x - 50x,,10,6,1
6464,Satan,,,,,,,383.5648441,380,228,532,,1,1,30,50,1-1,30x - 50x,,30,5,1.5
6465,Unknown Bro,,,,,,,374.9622808,370,222,518,,1,1,30,50,1-1,30x - 50x,,50,4,2
5861,Orc Lord,,,,,,,333.3361145,330,198,399,,2,1,10,30,1-2,10x - 30x,,60,3,5
5862,Pink Guy,,,,,,,321.9371848,320,192,399,,2,1,10,30,1-2,10x - 30x,,85,2,10
5863,Pock,,,,,,,281.9390129,280,168,392,,2,1,10,30,1-2,10x - 30x,,200,1,30
1,Alien Bro,Golden Bucket,Black Shirt,,None,None,Teal Blue,276.3589464,280,168,392,,2,1,10,30,1-2,10x - 30x,,400,0,50
2,Alien Bro,Golden Bucket,Tank Top,,None,None,Teal Blue,276.2181655,280,168,392,,2,1,10,30,1-2,10x - 30x,,,,
39,Ape Bro,Mickey Ears,White Striped Shirt,,None,None,Rose Taupe,242.992571,240,144,336,,2,1,10,30,1-2,10x - 30x,,,,
7,Alien Bro,Angel Ring,None,,None,None,Teal Blue,220.3609241,220,132,308,,2,1,10,30,1-2,10x - 30x,,,,
3238,Different Bro,Spartan Helmet,None,Demon Eye,None,None,Rose Taupe,215.1445005,220,132,308,,2,1,10,30,1-2,10x - 30x,,,,
4047,Bro,Wizard Hat,Purple Bomber,Wtf Eyes,Dbz Glass,None,Middle Green,205.3569238,210,126,294,,2,1,10,30,1-2,10x - 30x,,,,
6038,Robo Bro,Wizard Hat,None,Sus Eyes,None,None,Purple Navy,199.648955,200,120,280,,2,1,10,30,1-2,10x - 30x,,,,
5071,Bro,Wizard Hat,None,Normal Eyes,None,None,Purple Navy,199.6463835,200,120,280,,2,1,10,30,1-2,10x - 30x,,,,
6360,Robo Bro,Crown,Dutch White Robe,No Sleep,None,Beard,Russian Green,196.3415046,200,120,280,,2,1,10,30,1-2,10x - 30x,,,,
6523,Zombie Bro,Crown,Jedi Robe,Happy Eyes,None,None,Purple Navy,194.5502139,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
10,Alien Bro,None,Woolen Shirt,,None,Pipe,Teal Blue,193.0565485,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6412,Robo Bro,Crown,None,Sus Eyes,None,Gum,Camouflage Green,191.2816191,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6355,Robo Bro,Crown,Jedi Robe,T800,None,None,Dark Lavender,190.2921468,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
45,Ape Bro,Golden Bucket,None,,None,None,Teal Blue,189.8924859,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
9,Alien Bro,Headphone,Grey Zipper Hoodie,,Eye Mask,Oni Mask,Teal Blue,189.4622801,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
8,Alien Bro,None,Coat,,3D Glass,Beard,Teal Blue,189.1955759,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
14,Alien Bro,Old Bucket Hat,Normal Jacket,,None,Cigarette,Teal Blue,188.1160907,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
1737,Bro,Spartan Helmet,Winter Soldier,Normal Eyes,None,Old Wise Man Mustache,Middle Green,187.6801625,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
3,Alien Bro,Backwards Cap,Normal Jacket,,None,None,Teal Blue,187.5669561,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6133,Robo Bro,Crown,Jedi Robe,Wtf Eyes,None,None,Russian Green,187.2693689,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6246,Robo Bro,Crown,Dutch White Robe,Small Eyes,None,None,Russian Green,186.5525534,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
4104,Bro,Crown,None,No Sleep,None,None,Camouflage Green,186.5271648,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
6001,Robo Bro,Crown,Golden Jacket,Happy Eyes,None,None,Camouflage Green,186.4243953,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
456,Bro,Crown,White Puffer Jacket,Normal Eyes,None,None,Middle Green,185.2892907,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
706,Bro,Crown,Warm Coat,Normal Eyes,None,None,Middle Green,185.1756331,190,114,266,,2,1,10,30,1-2,10x - 30x,,,,
4,Alien Bro,Kermit Hat,Pepe Shirt,,None,None,Teal Blue,184.4887229,180,108,252,,2,1,10,30,1-2,10x - 30x,,,,
