Category,Trait,Count,S_trait,Tag1,IS1,Tag2,IS2,Tag3,IS3,IS Total,Adjusted Score
Bro Type,Darth Vader,1,11.703,Brand,1,,,,,1.000,411.394
Bro Type,Orc Lord,1,11.703,Villainous,0.9,Villainous,0.5,,,1.400,333.336
Bro Type,Pink Guy,1,11.703,Brand,0.75,Whimsical,0.25,,,1.000,321.800
Bro Type,Pock,1,11.703,Whimsical,1.35,Fantasy,0.4,,,1.750,279.698
Bro Type,Satan,1,11.703,Villainous,1.2,,,,,1.200,383.565
Bro Type,Unknown Bro,1,11.703,Whimsical,2,,,,,2.000,371.130
Bro Type,Voldemort,1,11.703,Brand,1,,,,,1.000,411.394
Bro Type,Alien Bro,15,7.796,Sci-fi,1,,,,,1.000,168.438
Bro Type,Ape Bro,40,6.381,Whimsical,0.8,,,,,0.800,80.941
Bro Type,Zombie Bro,200,4.059,Fantasy,0.18,,,,,0.180,15.942
Bro Type,Robo Bro,600,2.474,Sci-fi,0.13,,,,,0.130,6.948
Bro Type,Mummy Bro,750,2.152,Fantasy,0.1,,,,,0.100,4.696
Bro Type,Different Bro,786,2.084,Urban,0.35,,,,,0.350,6.950
Bro Type,Bro,935,1.834,Urban,0.4,,,,,0.400,6.988
Headwear,Afro,96,5.118,Urban,0.05,Drip,0.01,,,0.060,1.400
Headwear,Angel Ring,32,6.703,Fantasy,0.35,,,,,0.350,25.595
Headwear,Arabian Robe,87,5.260,Heritage,0.03,,,,,0.030,1.692
Headwear,Army Helmet,37,6.493,Enforcer,0.3,,,,,0.300,22.110
Headwear,Axe On Head,24,7.118,Whimsical,1.25,,,,,1.250,70.539
Headwear,Backwards Cap,75,5.474,Urban,0.5,Drip,0.15,,,0.650,15.945
Headwear,Bandana,126,4.725,Urban,0.1,Drip,0.01,,,0.110,2.418
Headwear,Blond Hair,137,4.605,Urban,0.08,,,,,0.080,1.755
Headwear,Blonde Hair,73,5.513,Urban,0.08,,,,,0.080,2.101
Headwear,Blue Cap,88,5.243,Urban,0.08,,,,,0.080,1.998
Headwear,Brown Hat,76,5.455,Urban,0.1,,,,,0.100,2.598
Headwear,Bucket Hat,87,5.260,Urban,0.1,,,,,0.100,2.505
Headwear,Cat Ear,16,7.703,Whimsical,0.3,,,,,0.300,18.321
Headwear,Chinese Hat,47,6.148,Heritage,0.05,,,,,0.050,3.297
Headwear,Cowboy Hat,39,6.417,Heritage,0.17,,,,,0.170,11.699
Headwear,Crown,10,8.381,Prestige,1.3,,,,,1.300,171.143
