ID,Image,Bro Type,Headwear,Clothes,Eyes,Eyewear,Mouth Items,Background
1,https://ipfs.io/ipfs/bafkreibhwm4bhh7pbzuvkifnayrleuibxl7jg3uu2uker5gcr4fpyiadcu,Alien Bro,Golden Bucket,Black Shirt,,None,None,Teal Blue
2,https://ipfs.io/ipfs/bafkreid3fqfelzmpeugyr3abqak5cemks2trsz7y4ghqihunpv4swjpozm,Alien Bro,Golden Bucket,Tank Top,,None,None,Teal Blue
3,https://ipfs.io/ipfs/bafkreiellodh32e4p7rhqe6a6zyvbqrpgu4fffpowldxpsylnibmkcgini,Alien Bro,Backwards Cap,Normal Jacket,,None,None,Teal Blue
4,https://ipfs.io/ipfs/bafkreih42mbwknthlmboiam7lqgbgj2gmcys4pnj3se4bef2q7f3tjqm2e,Alien Bro,Kermit Hat,Pepe Shirt,,None,None,Teal Blue
5,https://ipfs.io/ipfs/bafkreidaujkgeaht7kqsoecq6c5dwz5kidtv376m3fno2724447qwtgaf4,Alien Bro,Head Band,None,,None,Gum,Teal Blue
6,https://ipfs.io/ipfs/bafkreib2f2xhwk6cs5eblnp32vezroe2sxz56wghk7eoypkre37aoxwdia,Alien Bro,Flat Cap,Thug Jacket,,None,None,Teal Blue
7,https://ipfs.io/ipfs/bafkreib54ho6zgbhbc5fgxtaxnyxdsxnf4wsmxbekej7cpamfrxjy53bma,Alien Bro,Angel Ring,None,,None,None,Teal Blue
8,https://ipfs.io/ipfs/bafkreih6lssugw2gbtbsfwads7tglueruvsi2dtxvwsgnx2bvvbmjg4zfa,Alien Bro,None,Coat,,3D Glass,Beard,Teal Blue
9,https://ipfs.io/ipfs/bafkreicwelimx2vktsw45e2paaom3qs4cv3ilb3mubm7pnn6xy5c5eumwu,Alien Bro,Headphone,Grey Zipper Hoodie,,Eye Mask,Oni Mask,Teal Blue
10,https://ipfs.io/ipfs/bafkreiepd5cjegrpn3lszealffk4mjr2zybwamqyag4rnhwuhzjnrga3pe,Alien Bro,None,Woolen Shirt,,None,Pipe,Teal Blue
11,https://ipfs.io/ipfs/bafkreiflcx3flt5dxca5asxu4ehw6ao625gurflfek7cplxgh4yapuietm,Alien Bro,Bucket Hat,Tank Top,,None,None,Teal Blue
12,https://ipfs.io/ipfs/bafkreigmbxr4oom53gf2olu3b6hah5h6eaiepts6dvl5e7lpdjmpk3cy2q,Alien Bro,Head Band,None,,Nerd,None,Teal Blue
13,https://ipfs.io/ipfs/bafkreicomytrjbijvgwx3dq3zkpfjzqvhnx3tvzyisn7al36klh6m3hp5u,Alien Bro,Blue Cap,Blue Puffer Jacket,,Nerd,Orc Teeth,Teal Blue
14,https://ipfs.io/ipfs/bafkreigmw6jo56lpwvbbxaywzjbpwacjendshqo7eavg7iz425tffwktt4,Alien Bro,Old Bucket Hat,Normal Jacket,,None,Cigarette,Teal Blue
15,https://ipfs.io/ipfs/bafkreihvhe5spynsotpwo44rzfeert6tqxfwrdaxlz5lwmsnjwmz55bdbm,Alien Bro,None,None,,None,None,Teal Blue
16,https://ipfs.io/ipfs/bafkreiflvyrq2kf2o2okzc66b5w3wvsr4he5yomtyl4mgbtompeuyrol2q,Ape Bro,Flat Top Hairstyle,None,,Laser Glass,None,Teal Blue
17,https://ipfs.io/ipfs/bafkreiaasxt4cu34mcc7j4fa3ru7dxf7bkiragqbpsctj6ekahxcxwksvm,Ape Bro,None,None,,None,Cigarette,Russian Green
18,https://ipfs.io/ipfs/bafkreih4hruppjhzzblztujaj5kruwzy7f4mm7khmya7z2xwjafzrqunbe,Ape Bro,Head Band,Grey Zipper Hoodie,,None,None,Russian Green
19,https://ipfs.io/ipfs/bafkreibqkmfceknhfwldftlre6eeprpoc3vahkl4fgzdmozesuypte3q3q,Ape Bro,New Idea,None,,Laser Glass,None,Teal Blue
20,https://ipfs.io/ipfs/bafkreifc3yzc3nq4szb2nnwcffxmrchufqw42c4eoy6sovi7hyzjbpjiey,Ape Bro,Kermit Hat,Pepe Shirt,,None,Pipe,Russian Green
21,https://ipfs.io/ipfs/bafkreiba6awrv76cgtkgi3wki46yl35quyay6hhnu2snym3ckjfte6t5yy,Ape Bro,None,None,,Vision Pro,None,Teal Blue
22,https://ipfs.io/ipfs/bafkreihvl6xvcsp3dqnant37vq7n4glo2p4xvq6kl5qnaiilyzwil3oscm,Ape Bro,None,Dutch White Robe,,None,None,Russian Green
23,https://ipfs.io/ipfs/bafkreicsv4d2mgzzxj7sepaiclonc25alb4dlhr5oz3gkxrvcs4ihe4q7m,Ape Bro,None,None,,None,Smile,Teal Blue
24,https://ipfs.io/ipfs/bafkreig2rqm547fsci3wonjoawlehocodnwn3gzijfgsu24nkbqlpdhfca,Ape Bro,None,Warm Coat,,None,Throwup,Russian Green
25,https://ipfs.io/ipfs/bafkreidzih34hfujklz725moqynquvf5gqr3de5lu6u2c3be4bswpmobpe,Ape Bro,None,None,,Golden Glasses,Cigarette,Russian Green
26,https://ipfs.io/ipfs/bafkreiawsm5fyi3cc7siflxvv4v2cncul7lzcpy2pft5wtiun2bak5vc3i,Ape Bro,Headphone,White Striped Shirt,,None,None,Rose Taupe
27,https://ipfs.io/ipfs/bafkreihnmdyw5yrkglydcagqto6p6ojokb7uf5yclsrxeghzrt4tnqfdv4,Ape Bro,Blue Cap,None,,None,None,Teal Blue
28,https://ipfs.io/ipfs/bafkreid6wlkvkibk6ubqlxgbgdysxhnz3hwphhq5yx66akdgzos6r4xava,Ape Bro,Bandana,Pepe Shirt,,None,None,Rose Taupe
29,https://ipfs.io/ipfs/bafkreiej3miikoeqhkwwyp6l6aafcikxuocyobsdjblf6tdx5xjx2wyoqq,Ape Bro,Purple Bandana,None,,None,Pipe,Rose Taupe
30,https://ipfs.io/ipfs/bafkreidgulcnpbvnskodreqjrnas6lcxseus3a63dcturkno44jiyfj4g4,Ape Bro,None,Normal Jacket,,None,None,Russian Green
31,https://ipfs.io/ipfs/bafkreibfneok4bd3z523fojnxnn5zn4ewnt6jwal5hjs2r34auj4uwbwwy,Ape Bro,Axe On Head,None,,None,Cigarette,Russian Green
32,https://ipfs.io/ipfs/bafkreiaqldaoiol7hfg7g3vdmio36nnangrieowkgvotupdzf63hw76d7i,Ape Bro,Brown Hat,None,,None,Throwup,Russian Green
33,https://ipfs.io/ipfs/bafkreidscpht5dcasy5op2447mbrmrnre3xzib2g4gzj6zpts5fe4zv4em,Ape Bro,Angel Ring,None,,None,None,Rose Taupe
34,https://ipfs.io/ipfs/bafkreibjd75oh4u4afgunjqrvmsphn4d5hzkwd4nps6m5bt7vlumoea6h4,Ape Bro,None,Tank Top,,None,Pipe,Teal Blue
35,https://ipfs.io/ipfs/bafkreifxwzzgk4hkskrfr47sap3nx2xdeiqrtiywqvmkn3y23oz6otlueq,Ape Bro,New Idea,None,,None,Gum,Teal Blue
36,https://ipfs.io/ipfs/bafkreigv2hyh3cnsoswv433tsnp7r2r5tz6pnadet7vbuzsbmzqju374hq,Ape Bro,Flat Cap,Normal Jacket,,None,Gum,Rose Taupe
37,https://ipfs.io/ipfs/bafkreiad6we7zi5kw7wtclvtu3z4kzoyolgrxuxdiolendzn3oz6sf7dle,Ape Bro,Backwards Cap,None,,Golden Glasses,None,Russian Green
38,https://ipfs.io/ipfs/bafkreic5aezhd57je25cliz2yz2ch2peo7enlcso4sggqxqvke7h42iw3i,Ape Bro,None,Roman Kind Robe,,Thug Life Glass,None,Russian Green
39,https://ipfs.io/ipfs/bafkreibw7pifm5akm42fhe4dtcj4icmcthsfw3knqyrzwayvn2qmdn6tnq,Ape Bro,Mickey Ears,White Striped Shirt,,None,None,Rose Taupe
40,https://ipfs.io/ipfs/bafkreifqbd7o6zus4cnvo2cechibxhyepouoegwjzeqcjng5chwvqn2hxe,Ape Bro,None,None,,Nerd,Pipe,Russian Green
41,https://ipfs.io/ipfs/bafkreib7s2fjy5m4v6qotk6ssmrwjksvybymsndcrt3e3is5tlsuuarixm,Ape Bro,Head Band,None,,None,Throwup,Rose Taupe
42,https://ipfs.io/ipfs/bafkreicmrr6zfphs3fljn5tocjedww64624l4su7meftxrfve4ah2wf2ey,Ape Bro,Fez,None,,None,None,Teal Blue
43,https://ipfs.io/ipfs/bafkreicvtmsjpgdpxk3c3tkx275qdsxakgukwfzfzseaxrxfkfmz33nrd4,Ape Bro,Arabian Robe,None,,None,None,Teal Blue
44,https://ipfs.io/ipfs/bafkreia5s54fytvhuqtt3dvqwltp5kghwb3526bc3pdhdevau3pbr6b4ti,Ape Bro,Red Beanie,None,,None,None,Russian Green
45,https://ipfs.io/ipfs/bafkreihxie2tkqrjbmp2d3vopjtsbom4eysqop4tzulqylfjgkz3itafqu,Ape Bro,Golden Bucket,None,,None,None,Teal Blue
46,https://ipfs.io/ipfs/bafkreiavqx4edvng2f54qbxli5rrzp2rzplmghqhb4hlgd3zi7dxsqvcrq,Ape Bro,None,Red Shirt,,None,None,Rose Taupe
47,https://ipfs.io/ipfs/bafkreidvthz4bhpzxnevj4siesrcdis6kr6is7qhvw66opqzjirqslozf4,Ape Bro,Headphone,Gray Shirt,,Laser Glass,Beard,Teal Blue
48,https://ipfs.io/ipfs/bafkreiele7bfbg54x4cm42khklm2a3lx4r7esgnd4pklgqppadkfteraey,Ape Bro,Blue Cap,Warm Coat,,Golden Glasses,None,Russian Green
49,https://ipfs.io/ipfs/bafkreiap3r3c446ishrqrjdv2omdicr52pa2dtte4z5wy4vya4rfon6rhy,Ape Bro,None,Thug Jacket,,None,None,Rose Taupe
50,https://ipfs.io/ipfs/bafkreie2ypjqrjqqpbef6gblzarh6ixvvrbsdykxotwp2i57ntfmb747pi,Ape Bro,Angel Ring,None,,None,Smile,Russian Green
51,https://ipfs.io/ipfs/bafkreictu3mphysyyd2umbrnllwjdkqlztuz6njwweyl3chrl7jwgv7ahu,Ape Bro,None,Black Shirt,,None,None,Russian Green
52,https://ipfs.io/ipfs/bafkreifcnm5winsdsg4vsrfp7zgxre7c7flwjeh4hfwxm4b6yohi226gsq,Ape Bro,Old School Helmet,White Striped Shirt,,None,Gum,Rose Taupe
53,https://ipfs.io/ipfs/bafkreiesmhbejkbqfvkxzum72t7slieemkrkv7qe5jwdypvhskzd4kgasm,Ape Bro,Old Bucket Hat,Black Shirt,,None,Cigarette,Russian Green
54,https://ipfs.io/ipfs/bafkreiaqgsttfk5m5rq3igxozrcgarfkcefm2rq4durtrgs2u5ktxuzuea,Ape Bro,Head Band,Gray Shirt,,None,None,Teal Blue
55,https://ipfs.io/ipfs/bafkreido2yfsoxs5drzfo23r5nufa47d7izmemb7mrzf2xufmiqhgl3ty4,Ape Bro,None,White Striped Shirt,,Thug Life Glass,None,Teal Blue
56,https://ipfs.io/ipfs/bafkreidnjwgf5ntwxy2vfn52xb6yvlockevxa4zmxb3ta3prih47fn3ofi,Bro,Blue Cap,Winter Soldier,Happy Eyes,None,None,Camouflage Green
58,https://ipfs.io/ipfs/bafkreihhioyngydi43nwce2kizlbobxnhjcvoa4egyehvwvyekhbjbl2yi,Bro,Head Band,White Puffer Jacket,Sleepy Eyes,None,None,Dark Lavender
59,https://ipfs.io/ipfs/bafkreickxya5lnvslmcenwltxy4yu5acfpp5mq3puj7zew66ucpkvkm6x4,Different Bro,Flat Top Hairstyle,None,Normal Eyes,None,None,Camouflage Green
61,https://ipfs.io/ipfs/bafkreidbpo6qxf7x4nrerh3fe3jla6m425cazj35hdxomaxtx7j4g3sbwe,Bro,None,None,Normal Eyes,Vision Pro,Mustache,Purple Navy
62,https://ipfs.io/ipfs/bafkreiceua4ma5kglansagxx47ncmrq7dxhti2soswnaxlsce5atfa7wbq,Different Bro,Blonde Hair,Normal Jacket,Wtf Eyes,None,None,Purple Navy
64,https://ipfs.io/ipfs/bafkreia3w63fpefqoh54a5bhmfvbomgc6umnvdejwhohg7z2byx2x44f4u,Bro,Derby Hat,Normal Jacket,Sus Eyes,None,None,Purple Navy
65,https://ipfs.io/ipfs/bafkreidyxhg3rhhw4hzpwi4clwswuy4ct767yxddq3fb6cixswh4riwnyy,Bro,Slick Back Hair,Grey Zipper Hoodie,Wtf Eyes,Dbz Glass,Big Mustache,Middle Green
